injury_rate,high_injury_rate,injuries,sst_year,num_yrs_prev_on_sst,sic_sector_11,sic_sector_21,sic_sector_31,sic_sector_42,sic_sector_44,sic_sector_48,sic_sector_805,estab_id_duns,wp_days_2008,has_tmin1_odi,has_tmin3_odi,any_rep_will_viol_4yr,any_complaint_tmin13,any_fatcat_tmin13,any_insp_prior,avg_hours_analysis_tc99mm1,avg_hours_analysis_tc99mm2,avg_hours_analysis_tc99mm3,avg_hours_analysis_tc99_2mm1,avg_hours_analysis_tc99_2mm2,avg_hours_analysis_tc99_2mm3,avg_hours_analysis_tc99_3mm1,avg_hours_analysis_tc99_3mm2,avg_hours_analysis_tc99_3mm3,ln_avg_hours_analysismm1,ln_avg_hours_analysismm2,ln_avg_hours_analysismm3,count_dafw_analysis_tc99mm1,count_dafw_analysis_tc99mm2,count_dafw_analysis_tc99mm3,count_dafw_analysis_tc99_2mm1,count_dafw_analysis_tc99_2mm2,count_dafw_analysis_tc99_2mm3,count_dafw_analysis_tc99_3mm1,count_dafw_analysis_tc99_3mm2,count_dafw_analysis_tc99_3mm3,ln_count_dafw_analysismm1,ln_count_dafw_analysismm2,ln_count_dafw_analysismm3,ln_count_dafw_analysis_2mm1,ln_count_dafw_analysis_2mm2,ln_count_dafw_analysis_2mm3,ln_count_dafw_analysis_3mm1,ln_count_dafw_analysis_3mm2,ln_count_dafw_analysis_3mm3,ln_dafw_analysis_recmm1,ln_dafw_analysis_recmm2,ln_dafw_analysis_recmm3,dafw_analysis_rec_tc99mm1,dafw_analysis_rec_tc99mm2,dafw_analysis_rec_tc99mm3,dafw_analysis_rec_tc99_2mm1,dafw_analysis_rec_tc99_2mm2,dafw_analysis_rec_tc99_2mm3,cother_analysis_rec_tc99mm1,cother_analysis_rec_tc99mm2,cother_analysis_rec_tc99mm3,cother_analysis_rec_tc99_2mm1,cother_analysis_rec_tc99_2mm2,cother_analysis_rec_tc99_2mm3,ctransfer_analysis_rec_tc99mm1,ctransfer_analysis_rec_tc99mm2,ctransfer_analysis_rec_tc99mm3,ctransfer_analysis_rec_tc99_2mm1,ctransfer_analysis_rec_tc99_2mm2,ctransfer_analysis_rec_tc99_2mm3,any_deathsmm1,any_deathsmm2,any_strikesmm1,any_strikesmm2,any_shutdownmm1,any_shutdownmm2,any_seasonalmm1,any_seasonalmm2,any_disastermm1,any_disastermm2,any_long_schmm1,any_long_schmm2,any_illnessmm1,any_illnessmm2,ln_daway_analysismm2,ln_dtransfer_analysismm2,paydexmin_netsmm1,paydexmin_netsmt1,paydexmin_netsmm2,paydexmin_netsmt2,ln_sales_netsmm1,ln_sales_netsmm2,ln_sales_netsmt2,ln_emp_netsmm1,ln_emp_netsmm2,ln_emp_netsmm3,avg_viol_sic3mm1,avg_viol_sic3mm2,avg_viol_sic3mm3,avg_viol_stmm1,avg_viol_stmm2,avg_viol_stmm3,avg_pen_sic3mm1,avg_pen_sic3mm2,avg_pen_sic3mm3,avg_pen_stmm1,avg_pen_stmm2,avg_pen_stmm3,avg_gravity_sic3mm1,avg_gravity_sic3mm2,avg_gravity_sic3mm3,avg_gravity_stmm1,avg_gravity_stmm2,avg_gravity_stmm3,loom_dafw_rec_tc99_s4yrmm1,loom_dafw_rec_tc99_s4yrmm2,loom_dafw_rec_tc99_styrmm1,loom_dafw_rec_tc99_styrmm2,loom_ctransfer_rec_tc99_s4yrmm1,loom_ctransfer_rec_tc99_s4yrmm2,loom_ctransfer_rec_tc99_styrmm1,loom_ctransfer_rec_tc99_styrmm2,loom_cother_rec_tc99_s4yrmm1,loom_cother_rec_tc99_s4yrmm2,loom_cother_rec_tc99_styrmm1,loom_cother_rec_tc99_styrmm2,sd_dafw_rec_tc99_s3yrmm1,sd_dafw_rec_tc99_s3yrmm2,sd_dafw_rec_tc99_styrmm1,sd_dafw_rec_tc99_styrmm2,sd_ctransfer_rec_tc99_s3yrmm1,sd_ctransfer_rec_tc99_s3yrmm2,sd_ctransfer_rec_tc99_styrmm1,sd_ctransfer_rec_tc99_styrmm2,sd_cother_rec_tc99_s3yrmm1,sd_cother_rec_tc99_s3yrmm2,sd_cother_rec_tc99_styrmm1,sd_cother_rec_tc99_styrmm2,gravity_cy_mzmm1,gravity_cy_mzmm2,gravity_cy_mzmm3,ln_initial_pen_cy_mzmm1,ln_initial_pen_cy_mzmm2,ln_initial_pen_cy_mzmm3,initial_pen_cy_mzmm1,initial_pen_cy_mzmm2,initial_pen_cy_mzmm3,initial_pen_cy_mz_2mm1,initial_pen_cy_mz_2mm2,initial_pen_cy_mz_2mm3,public_netsmm1,standalone_netsmm1,headquarters_netsmm1,foreign_owned_netsmm1,estab_age_netsmm1,estab_age2_netsmm1,govt_contractor_netsmm1,exporter_netsmm1,importer_netsmm1,exp_imp_netsmm1,region_dum1,region_dum2,region_dum3,region_dum4,region_dum5,region_dum6,region_dum7,region_dum8,num_nonfat_comp_insp_cy_tc99mm1,num_nonfat_comp_insp_cy_tc99mm2,num_nonfat_comp_insp_cy_tc99mm3,l2_ln_count_dafw_has_tmin3_odi,l2_dafw_has_tmin3_odi,l2_ctransfer_has_tmin3_odi,l2_cother_has_tmin3_odi,l2_ln_count_dafw_has_tmin1_odi,l2_dafw_has_tmin1_odi,l2_ctransfer_has_tmin1_odi,l2_cother_has_tmin1_odi,l2_dafw_emp_q2,l2_dafw_emp_q3,l2_dafw_emp_q4
3.473054647,1,11,2005,-0.205447484,0,0,0,0,0,1,0,39348,-0.311198099,1,1,0,0,0,0,1.497826159,0.829203371,0.596382676,0.632899501,0.193395841,0.014672426,0.144467379,-0.053934422,-0.163860939,1.832078687,1.323485894,1.189443627,1.235325376,0.429138701,-0.271062465,0.471225648,-0.013088142,-0.351484113,0.065649762,-0.156096093,-0.295756112,1.445141177,0.826403483,0.18271862,1.472993547,0.665950553,-0.116292103,1.211737652,0.418466236,-0.272618351,0.47115448,0.028334418,-0.431715346,0.087419253,-0.324227481,-0.7767716,-0.215949006,-0.455062453,-0.674097243,0.670728297,-0.012637169,-0.610624542,0.169634102,-0.264263512,-0.553085829,0.025398097,-0.336483148,0.06663811,-0.29174622,-0.525529501,-0.323716658,-0.077709962,0,-0.05085327,0,-0.361551629,0,-0.231224251,0,-0.087229583,0,-0.166302152,0,1.634173751,1,0.030429992,1.175466895,-1.099374483,0,-1.457503254,0,0.793543526,0.878531327,0,1.272801729,1.281170914,0.881175805,-1.150138396,-0.544878782,-0.486073277,-2.227187907,-2.330224743,-1.84678185,-0.589689894,-0.210334579,-0.205678719,-1.610804179,-1.77980622,-1.476999909,-0.396487327,-0.193785369,0.107667681,-1.776050374,-1.813539308,-1.432090883,0.031300584,-0.414323813,0.363830377,0.151041713,0.694843696,0.015093474,1.260870104,1.179226561,-0.711825971,-0.963452725,1.179893331,1.084117306,0.783910373,0.119466144,0.146501661,0.44372109,0.926821528,0.249055454,1.554784139,1.684280109,-0.537455054,-0.711834025,1.865828583,0.853119583,-0.117612289,-0.158580855,-0.148103901,-0.210732951,-0.262615551,-0.307363712,-0.089716275,-0.110428899,-0.118530687,-0.034094111,-0.038706569,-0.047029343,0,0,0,0,-0.601053224,-0.455160194,0,0,0,0,0,0,0,0,0,0,0,0,-0.188933265,-0.245217614,-0.317365836,1.078454792,0.085172821,-0.032192391,0.267367762,0.873740847,-0.206584416,-0.277735203,0.060788307,-0.455461801,-0.454697339,0.977915835
4.882523537,1,5,2003,-0.821399721,0,0,0,1,0,0,0,12259,0.792371008,1,0,0,0,0,0,-0.470661677,-0.423869667,0.052120932,-0.285960817,-0.265422034,0.057083876,-0.195342336,-0.181735119,0.055496795,-0.550925148,-0.471035062,0.038822503,-0.437066767,-0.073846589,0.00436278,-0.314303727,-0.238929368,0.001849294,-0.225681063,-0.228438837,0.002142227,-0.237869577,0.321648634,0.010523645,-0.455402208,0.103207228,0.013445048,-0.459143728,-0.063277807,0.016337319,0.19015252,0.7873073,-0.009824335,-0.234302671,0.75559344,-0.004727345,-0.394080866,0.437334776,-0.001276467,-1.002119157,2.075130955,-0.044107885,-0.498742561,1.891344343,-0.031739535,-0.20748107,-1.163517323,0.016257883,-0.423184204,-0.740819638,0.035659103,-0.077709962,0,-0.05085327,0,-0.361551629,0,-0.231224251,0,-0.087229583,0,-0.166302152,0,-0.664149539,0,1.259465102,-1.90314952,0.640908883,0,1.074103711,0,-0.734530285,-0.565013981,0,-1.183564641,-1.103773882,-1.027553396,-0.914720147,-0.760252883,-0.249286971,-0.190008554,-0.59907443,-1.491391767,-0.166743339,-0.606098388,-0.377759538,-0.289368546,-0.355472888,-1.365936049,-0.570436277,-0.664892617,-0.380345014,0.405956099,0.086475215,-1.250631048,1.02005851,0.42202804,0.451398989,-0.013648424,0.105437749,-0.294626937,1.131093198,0.141643144,0.029732769,0.029929986,-0.096114232,0.428403795,0.441990225,1.041673923,0.076047379,0.040657511,0.989379584,1.372679516,1.025540261,0.386806238,0.553823955,1.139661837,0.433525879,0.788297439,-0.117612289,-0.158580855,-0.148103901,-0.210732951,-0.262615551,-0.307363712,-0.089716275,-0.110428899,-0.118530687,-0.034094111,-0.038706569,-0.047029343,0,1,0,0,-0.250519805,-0.353297917,0,0,0,0,0,0,0,1,0,0,0,0,-0.188933265,-0.245217614,-0.317365836,-1.170605874,-0.94537805,-0.848699651,-0.722729843,0.429721312,0.826538237,-1.096543876,2.155040269,2.316226666,-0.454697339,-0.426246343
5.110076904,1,6,2004,-0.821399721,0,0,1,0,0,0,0,45790,0.792371008,1,0,0,0,0,0,-0.406391253,-0.43763937,0.052120932,-0.276040482,-0.267498434,0.057083876,-0.194294522,-0.18194918,0.055496795,-0.379929189,-0.508659431,0.038822503,-0.548559576,-0.275040705,0.00436278,-0.326772447,-0.299153695,0.001849294,-0.226634601,-0.241147118,0.002142227,-0.548605823,0.034544036,0.010523645,-0.659693489,-0.171005402,0.013445048,-0.556943428,-0.264065238,0.016337319,-0.280808501,0.486077812,-0.009824335,-0.614670547,0.244518314,-0.004727345,-0.537995289,-0.057083976,-0.001276467,0.622110274,3.041193402,-0.044107885,0.131348525,3.650015031,-0.031739535,-1.086112798,-1.163517323,0.016257883,-0.642121536,-0.740819638,0.035659103,-0.077709962,0,-0.05085327,0,-0.361551629,0,-0.231224251,0,-0.087229583,0,-0.166302152,0,-0.664149539,0,-0.710979264,-1.90314952,0.436169664,0,0.546685593,0,-0.428642274,-1.572602775,0,-0.910985811,-1.790209265,-1.694529059,0.017754619,0.345356519,0.341058482,-0.651812293,-0.344852832,-0.514936605,-0.344239514,-0.044942435,-0.255893753,-0.298825758,-0.264821147,-0.447915164,0.188732939,0.379882057,0.170554672,-0.215693981,0.227185173,0.064352882,0.189957996,-0.49398254,-0.454174622,-0.261717273,-0.222484735,-0.086521847,0.100738436,0.095459857,0.468032244,0.571645867,-0.511882426,-0.609045839,0.362155674,0.065830068,-0.452985409,-0.183602339,-0.177851143,0.295655292,0.075671781,0.065820622,0.960592052,0.800414976,-0.35013723,-0.21118765,-0.117612289,-0.158580855,-0.148103901,-0.210732951,-0.262615551,-0.307363712,-0.089716275,-0.110428899,-0.118530687,-0.034094111,-0.038706569,-0.047029343,0,0,1,0,-0.776319933,-0.483621713,0,0,0,0,0,0,0,0,0,1,0,0,-0.188933265,-0.245217614,-0.317365836,-1.170605874,-0.94537805,-0.848699651,-0.722729843,0.177162966,0.337565223,-1.096543876,3.124102949,-0.455461801,-0.454697339,-0.426246343
3.028964758,1,7,2004,-0.821399721,0,0,0,0,1,0,0,27322,-0.311198099,1,0,0,0,0,0,0.311711238,0.239878121,0.052120932,-0.073018674,-0.088884561,0.057083876,-0.152807946,-0.147711716,0.055496795,0.829000604,0.719853263,0.038822503,0.23189009,0.529735759,0.00436278,-0.134754155,0.044985316,0.001849294,-0.190450359,-0.132611534,0.002142227,0.751850654,0.905221711,0.010523645,0.510548089,0.763105258,0.013445048,0.23833675,0.510171555,0.016337319,0.410944112,0.548535817,-0.009824335,0.011140409,0.340252379,-0.004727345,-0.262858601,0.025673942,-0.001276467,-0.893682602,-0.76776423,-0.044107885,-0.495934154,-0.490017695,-0.031739535,-0.963204223,-1.163517323,0.016257883,-0.637837329,-0.740819638,0.035659103,-0.077709962,0,-0.05085327,0,-0.361551629,0,-0.231224251,0,-0.087229583,0,-0.166302152,0,1.634173751,1,0.483239276,-1.90314952,-0.280417605,0,-0.402667019,0,0.314723474,0.312565457,0,0.646196212,0.672784646,0.698641572,-1.356216336,-1.025314373,-0.887411049,0.432462087,0.799818078,0.063399771,-0.73913567,-0.306529124,-0.265068747,-0.318748952,-0.314304279,0.218100596,-1.033913857,-0.477851297,-0.926196719,-0.258678259,0.225834946,-0.619720009,-0.152538041,-0.37315434,-0.193402898,0.31642403,0.47279962,-0.47362913,-0.877504064,-0.8980365,-0.564583299,-0.830865973,0.219249095,-0.194809486,-0.558713749,-0.426694205,-0.355523707,2.237669717,-0.497008959,-0.742714589,-0.839562842,-0.931728958,-0.298706357,-0.641988988,0.270846147,0.002151348,-0.117612289,-0.158580855,-0.148103901,-0.210732951,-0.262615551,-0.307363712,-0.089716275,-0.110428899,-0.118530687,-0.034094111,-0.038706569,-0.047029343,1,0,0,0,-0.53094654,-0.439581258,0,0,0,0,0,0,0,1,0,0,0,0,-0.188933265,-0.245217614,-0.317365836,-1.170605874,-0.94537805,-0.848699651,-0.722729843,0.943075165,0.429159144,-1.096543876,-0.6966839,-0.455461801,-0.454697339,1.805725962
3.74048233,1,3,2006,-0.821399721,0,0,1,0,0,0,0,33056,-1.414767205,1,0,0,0,0,0,-0.555368703,-0.453733086,0.052120932,-0.296965091,-0.269843581,0.057083876,-0.196322784,-0.182182816,0.055496795,-0.808683097,-0.553823165,0.038822503,-0.548559576,-0.275040705,0.00436278,-0.326772447,-0.299153695,0.001849294,-0.226634601,-0.241147118,0.002142227,-0.548605823,0.034544036,0.010523645,-0.659693489,-0.171005402,0.013445048,-0.556943428,-0.264065238,0.016337319,-0.037195878,0.519185025,-0.009824335,-0.438958315,0.294645984,-0.004727345,-0.480493629,-0.01431751,-0.001276467,-0.698227077,-0.740128341,-0.044107885,-0.476685515,-0.486943134,-0.031739535,-0.052763558,-1.163517323,0.016257883,-0.339290539,-0.740819638,0.035659103,-0.077709962,0,-0.05085327,0,-0.361551629,0,-0.231224251,0,-0.087229583,0,-0.166302152,0,-0.664149539,0,-1.368626204,-1.90314952,-0.018000977,1,-0.027009569,1,-0.154719278,-0.107725642,0,-1.183564641,-1.103773882,-1.027553396,0.102109215,0.273538592,0.069155758,-0.289341255,0.236422817,-0.245074365,-0.221656717,-0.001703189,-0.161780196,-0.119907588,-0.202210124,-0.197184479,0.164615542,0.312951877,0.272044841,-0.057121974,0.234904536,0.07720348,-0.70292055,-0.601060131,-1.041153751,-1.136162417,-0.28539418,-0.067800767,1.162867175,1.613842608,-0.243849683,-0.28435075,-0.203187723,-0.120419236,-0.603720846,-0.664238052,-0.788921324,-1.102419605,-0.215926327,-0.009403428,0.790994357,1.193982383,-0.176304032,-0.217890223,-0.51145634,-0.436465431,-0.117612289,-0.158580855,-0.148103901,-0.210732951,-0.262615551,-0.307363712,-0.089716275,-0.110428899,-0.118530687,-0.034094111,-0.038706569,-0.047029343,0,1,0,0,0.135066955,-0.172042983,0,0,0,0,0,0,0,0,0,0,0,1,-0.188933265,-0.245217614,-0.317365836,-1.170605874,-0.94537805,-0.848699651,-0.722729843,0.177162966,0.385525057,-1.096543876,-0.668962184,1.737323336,-0.454697339,-0.426246343
4.642092228,1,6,2005,1.026456992,0,0,0,1,0,0,0,30315,-1.414767205,1,1,0,0,0,1,-0.184026415,-0.20966961,-0.351742077,-0.231260131,-0.224820618,-0.32393295,-0.188065756,-0.176409419,-0.251492749,0.100462698,0.020392786,-0.128343992,-0.771545195,-0.375637763,-0.728555929,-0.336747423,-0.322813252,-0.429543005,-0.227036091,-0.245054055,-0.305822375,-1.735258439,-0.141559387,-0.866185724,-1.004611517,-0.322740804,-0.880358077,-0.653847204,-0.364231569,-0.697333049,-2.180905612,-0.097962492,-0.823540246,-1.182043162,-0.446698637,-0.991210272,-0.618383473,-0.519777627,-0.728705579,-0.487613802,-0.969532713,-0.317013225,-0.435517627,-0.500521942,-0.456661129,0.080230422,0.578883395,0.575677204,-0.256324568,0.214774109,0.071123665,-0.077709962,0,-0.05085327,0,-0.361551629,1,-0.231224251,0,-0.087229583,0,-0.166302152,0,1.634173751,1,-0.071412423,1.093765393,1.152756932,0,0.968620087,0,-0.610555535,-0.542241369,0,0.016991698,0.061874951,0.105050522,-0.8910483,-0.452117891,-0.721169993,-0.385613893,-0.401733455,-0.845643567,-0.416876583,-0.132129267,-0.367088235,-0.497646189,-0.126396961,-0.273780144,-0.691533636,-0.100353927,-0.587848516,-0.509259386,-0.320882864,-0.590105538,0.529968099,0.231235539,0.263699523,0.258281245,0.717594737,0.176578059,0.635412617,0.663304284,-0.935838698,-0.93202119,0.535832677,0.512134008,0.50235608,0.408074634,-0.123517406,-0.127521451,0.45794093,-0.066199803,0.230594845,-0.049473983,-0.768950091,-0.804413311,-0.17734802,-0.110731765,-0.117612289,-0.158580855,0.024492635,-0.210732951,-0.262615551,1.445287697,-0.089716275,-0.110428899,-0.000152,-0.034094111,-0.038706569,-0.046379327,1,0,0,0,-0.495893199,-0.430893005,0,0,0,0,0,0,0,0,1,0,0,0,-0.188933265,-0.245217614,1.970131754,0.356369552,-0.026805743,0.871522896,-0.722729843,0.022249426,-0.323759146,0.628527303,-0.899079001,-0.455461801,0.784932492,-0.426246343
2.582740784,0,1,2007,-0.205447484,0,0,1,0,0,0,0,29147,-0.311198099,0,1,0,1,0,1,0.058718083,-0.283767449,-0.226250146,0.058410401,-0.240630578,-0.294312337,0.054814942,-0.178718102,-0.246661801,0.044311265,-0.132604998,0.112022338,-0.055022425,-0.476234821,-0.728555929,-0.025619083,-0.342171071,-0.429543005,-0.013785736,-0.247672992,-0.305822375,-0.082940018,-0.34984562,-0.866185724,-0.060620015,-0.486049969,-0.880358077,-0.035538777,-0.46237155,-0.697333049,-0.133960751,-0.233088068,-0.959523096,-0.128521425,-0.564269138,-1.051722484,-0.095308071,-0.574907742,-0.740533227,-0.041754451,-0.794704633,-0.743965248,-0.028815943,-0.492635509,-0.584446085,-0.122234625,-0.971205726,-0.652138359,-0.080086027,-0.729178695,-0.663644118,0.014815949,0,0.016519593,0,-0.004100215,1,-0.03518619,0,0.004153473,0,-0.000234,0,-0.024931279,0,1.018527564,-1.427734619,0.129060834,0,0.019267476,0,1.267053316,1.270629889,0,0.896233831,0.921508543,0.940314409,0.722563874,0.279442765,0.97090069,0.01888049,-0.310719663,0.810249744,0.361309882,0.177015034,0.411308267,-0.102516596,-0.335267377,0.439126213,0.708927385,-0.115119803,0.791798356,0.1286937,-0.149174646,0.814232948,-1.29165017,-0.969754049,0.236513601,-0.054927359,-0.965086289,-1.075313839,-0.970830268,-1.033095751,-1.10674819,-0.932167901,-0.881449198,-1.113166413,-1.018785765,-0.788033992,0.080320133,0.034406182,-0.818370213,-1.119442861,-0.799881766,-0.692388791,-1.055973683,-1.170672713,-0.731635913,-0.789694462,-0.117612289,0.863878172,-0.148103901,-0.210732951,3.47498614,-0.307363712,-0.089716275,0.687708667,-0.118530687,-0.034094111,-0.014342818,-0.047029343,0,0,1,1,-0.285573147,-0.366180499,0,0,0,0,1,0,0,0,0,0,0,0,-0.188933265,-0.245217614,-0.317365836,0.200991263,-0.13430351,-0.658835894,-0.541835633,-1.778377983,-1.284956173,-1.096543876,-0.899079001,0.658612915,-0.454697339,-0.426246343
1.389167547,0,1,2006,0.410504754,0,0,1,0,0,0,0,31881,-1.414767205,1,1,0,0,0,1,-0.523460874,-0.494026003,-0.683937162,-0.293096368,-0.275328764,-0.379961691,-0.196002101,-0.182693702,-0.258191665,-0.706621134,-0.673027624,-0.983470123,-0.437066767,-0.677428937,-0.728555929,-0.314303727,-0.367981497,-0.429543005,-0.225681063,-0.250077261,-0.305822375,-0.237869577,-0.933418697,-0.866185724,-0.455402208,-0.850359236,-0.880358077,-0.459143728,-0.638583532,-0.697333049,0.283476021,-0.597507598,-0.31143552,-0.136750249,-0.822833763,-0.696847485,-0.345528754,-0.67204433,-0.648678597,-1.002119157,-0.969532713,-1.215880253,-0.498742561,-0.500521942,-0.633071108,-0.117042122,-0.073465096,0.584787763,-0.37579345,-0.366819427,0.079354304,-0.077709962,0,-0.05085327,0,-0.361551629,0,-0.231224251,0,-0.087229583,0,-0.166302152,0,-0.664149539,0,-0.444329594,-0.065932651,-1.713592142,0,-1.773954125,0,0.437496939,0.470849203,0,-0.49360447,-0.433875068,-0.376645506,0.303001653,0.948569304,0.641941759,-0.289341255,0.236422817,-0.245074365,0.225682987,0.358026634,-0.023503367,-0.119907588,-0.202210124,-0.197184479,-0.149971324,0.687546545,0.999144319,-0.057121974,0.234904536,0.07720348,-0.523009239,-1.120262314,-1.042759768,-1.12966391,0.016950264,-0.839747419,1.163367985,1.605424715,-0.910362016,-1.041490091,-0.201761455,-0.119323414,-0.671628985,-1.108030107,-0.788921324,-1.102419605,-0.949599465,-1.230296561,0.790994357,1.193982383,-1.059655319,-0.760797264,-0.51145634,-0.436465431,-0.117612289,-0.158580855,-0.148103901,-0.210732951,-0.262615551,-0.307363712,-0.089716275,-0.110428899,-0.118530687,-0.034094111,-0.038706569,-0.047029343,0,0,1,1,-0.390733173,-0.401233106,0,0,0,0,0,0,0,0,0,0,0,1,-0.188933265,-0.245217614,-0.317365836,-0.234345173,-0.370715873,0.227477832,-0.722729843,-0.674328335,-0.683627817,-0.017333071,-0.899079001,-0.455461801,-0.454697339,-0.426246343
4.92226696,1,41,2008,2.258361467,0,0,0,0,0,1,0,7529,-0.311198099,1,1,0,0,0,1,4.323225132,4.505891454,6.936118265,4.17407144,4.620855647,9.080121489,3.315114865,3.918013409,10.04413863,3.022406015,3.03297128,3.942209341,5.249066519,4.55361808,5.218859114,6.935010217,5.89534849,6.673816183,7.675481939,6.510040974,7.314338379,2.593213473,2.580382191,3.182914262,3.584598065,3.420872418,4.417100775,4.049139431,3.78786973,5.073157351,0.81617125,0.580330797,0.779195867,0.618706829,0.390926473,0.493150772,0.191387694,0.071318427,0.05515212,-0.729365471,-0.58375819,-0.972239494,-0.480974099,-0.462122462,-0.620110299,-0.653294954,-0.963821538,-1.037457873,-0.588994403,-0.728267578,-0.740976443,-0.077709962,0,-0.05085327,0,-0.361551629,0,-0.231224251,0,-0.087229583,0,-0.166302152,0,1.634173751,0,2.100082918,0.580827223,-0.018000977,1,-0.027009569,1,0.518146182,2.505658322,0,0.186533161,2.831190402,2.795858802,0.123836167,-1.219376869,-0.679615871,0.352873553,0.011459558,-0.262036469,3.668621917,-0.595943443,0.059290849,0.359856219,-0.162940695,-0.31320663,3.204406594,-0.776820763,0.170633958,0.636802723,0.124974646,-0.058356529,2.222272744,1.315178118,0.396156314,-0.019528769,-0.331548258,-0.222182031,-0.847912068,-1.163788476,-0.928781726,-0.97601929,-1.105231496,-1.072938533,2.269241467,1.648079759,0.466806788,-0.096076462,-0.72036365,-0.377793464,-0.689983397,-1.033660469,-1.455096569,-1.374844162,-1.280663936,-0.929740985,-0.117612289,-0.158580855,-0.148103901,-0.210732951,-0.262615551,-0.307363712,-0.089716275,-0.110428899,-0.118530687,-0.034094111,-0.038706569,-0.047029343,1,0,0,0,-0.70621325,-0.474034675,0,0,0,0,1,0,0,0,0,0,0,0,-0.188933265,2.953757618,-0.317365836,2.386895618,0.739056685,-0.651545696,-0.323569837,2.416669681,0.47764177,-0.898834222,-0.512106405,-0.455461801,-0.454697339,1.868855833
3.339487791,1,5,2006,-0.205447484,1,0,0,0,0,0,0,21410,0.792371008,1,0,0,0,0,0,-0.107248395,-0.285264679,0.052120932,-0.212030014,-0.24093079,0.057083876,-0.184772235,-0.178759253,0.055496795,0.237524392,-0.135857911,0.038822503,0.120397281,-0.073846589,0.00436278,-0.177147804,-0.238929368,0.001849294,-0.201340762,-0.228438837,0.002142227,0.638046793,0.321648634,0.010523645,0.375060592,0.103207228,0.013445048,0.121383006,-0.063277807,0.016337319,0.660017366,0.539779837,-0.009824335,0.356790537,0.326530494,-0.004727345,-0.027041308,0.01353301,-0.001276467,-0.530127928,-0.619142227,-0.044107885,-0.445534623,-0.468843568,-0.031739535,-0.55112928,-0.585370889,0.016257883,-0.560953159,-0.635610635,0.035659103,-0.077709962,0,-0.05085327,0,-0.361551629,0,-0.231224251,0,-0.087229583,0,-0.166302152,0,1.634173751,0,0.417632503,0.483629469,-0.587526434,0,0.863136464,0,-0.385909489,-0.434493047,0,0.075989723,0.0018764,0.046752868,-0.129548305,-0.762349906,-1.375564987,-0.480672419,-0.798467725,-0.4587264,-0.513931012,-0.561296133,-1.101835596,-0.722331751,-0.549618862,-0.390068978,-0.374326626,1.589008977,-1.345971404,-0.475105003,-0.596457307,-0.331557183,-1.671262583,-0.603763048,0.552417906,1.136408615,-1.790714742,-0.732424496,-2.043950371,-2.079490767,-1.678023884,-0.690789048,-1.291510091,-0.976907926,-0.938453525,-0.773652103,0.638212775,1.108472517,-0.836302544,-1.327735882,-2.040953604,-2.173132746,-1.734233259,-1.20095336,-1.290021182,-0.724585233,-0.117612289,-0.158580855,-0.148103901,-0.210732951,-0.262615551,-0.307363712,-0.089716275,-0.110428899,-0.118530687,-0.034094111,-0.038706569,-0.047029343,1,0,0,0,-0.460839857,-0.421605562,0,0,0,0,0,1,0,0,0,0,0,0,-0.188933265,-0.245217614,-0.317365836,-1.170605874,-0.94537805,-0.848699651,-0.722729843,0.429721312,0.416030679,-0.524147561,-0.547600331,-0.455461801,1.739019438,-0.426246343
