country,countrycode,Disposable income per capita,Employment rate,Unemployment rate,Homicide rate,Life expectancy,Population with at least secondary education,Number of rooms per capita,Mortality rate,Voter turnout,Households broadband access,Air quality (PM2.5),Life satisfaction,Satisfaction with housing affordability,Internet speed,Perceived social network support 
Australia,AUS,39 872,76.3,4.1,0.9,83.0,15.3,2.3,3.0,89.8,86.1,8.5,7.1,41.6,-44.8,92.4
Austria,AUT,37 640,75.5,4.8,0.7,81.9,13.8,1.8,8.6,75.6,91.0,11.1,7.0,59.9,-42.5,89.8
Belgium,BEL,35 487,62.8,5.8,1.4,82.3,17.2,2.1,8.6,90.7,94.6,11.8,6.9,59.3,-16.3,89.9
Canada,CAN,32 387,72.2,6.1,1.9,81.3,6.9,2.5,6.3,62.2,93.3,12.7,7.0,38.8,22.4,91.9
Chile,CHL,8 261,62.9,8.7,4.5,81.0,17.6,1.3,9.9,46.7,75.2,23.1,6.2,28.7,49.4,87.3
Colombia,COL,N/A,59.8,11.5,25.5,76.8,36.8,1.0,9.3,60.4,48.4,13.5,5.8,46.6,-18.9,80.4
Costa Rica,CRI,10 470,71.5,7.3,17.2,80.9,58.6,1.1,6.8,60.7,80.1,8.7,6.8,55.0,-41.0,33.2
Czechia,CZE,26 092,75.1,2.3,1.5,79.9,5.7,1.5,10.2,65.4,92.8,13.0,6.8,50.7,-41.9,93.7
Denmark,DNK,27 796,76.8,5.3,0.8,81.8,16.4,1.9,8.9,84.2,92.5,9.2,7.6,71.3,7.6,94.6
Estonia,EST,17 711,74.4,7.9,1.7,79.0,11.2,1.6,10.3,63.5,90.9,9.1,6.4,62.8,-46.7,93.6
Finland,FIN,28 154,72.2,9.4,1.1,81.6,11.1,1.8,9.0,66.8,95.5,7.1,7.8,75.2,-13.1,95.6
France,FRA,30 656,65.0,7.6,1.2,83.0,16.1,1.8,8.0,77.8,88.1,10.7,6.7,47.9,46.3,87.4
Germany,DEU,35 532,76.2,8.2,0.8,81.1,16.2,1.8,13.4,82.5,88.8,11.6,6.9,55.8,-34.9,89.1
Greece,GRC,20 931,70.9,12.9,0.7,81.8,17.9,1.3,9.1,53.7,85.0,11.1,5.9,40.4,-56.2,84.1
Hungary,HUN,21 024,73.8,4.4,0.7,76.5,11.9,1.6,12.8,69.7,94.8,12.5,6.1,44.8,3.9,94.2
